type,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8
Adnachiel,Green black earring,Brownness deer ear,Cyan violet black perch blossom eye,Green the points bang waves  hair,Violet oval mouth,Red long nose,Violet semicircle truncheon,Golden four winged
Zuriel,Violet  hair clasp,Deep yellow deer ear,Deep black litchi eye,Black the points bang waves  hair,Yellow mouth,Deep blue aquiline nose,White ellipse truncheon,Golden six wings
Hamaliel,Golden crown,Brownness deer ear,Cyan black litchi eye,Brownness side swept fringe waves  hair,Black oval mouth,Red aquiline nose,Cyan violet ellipse truncheon,Violet two wing
Michael,Green butterfly head band,Orange deer ear,Cyan black long and thin eye,Golden braid hair,Light brownness round mouth,Dark red round nose,Golden shield,Cyan two wing
Asmodel,Cyan round earring,Deep red long ear,Brownness black willow eye,Green braid hair,Violet round mouth,Red round nose,Cyan spear,
Cassiel,Green round earring,Green rabbit ear,White orange litchi eye,White short voume hair,Black heart shaped mouth,Light red round nose,Blue saint sword,Cyan wing
Adnachiel,Violet black,Orange long ear,Yellow brownness black round eye,Dark red the curly hair,Deep red rectangle mouth,Red aquiline nose,White ellipse truncheon,Black  six wings
Barbiel,Blue necklace,Light black pentagon era,Cyan orange litchi eye,Green the curly hair,Black heart shaped mouth,Cyan aquiline nose,Cyan white ellipse truncheon,Cyan wing
Ambiel,Cyan belt,Orange bar type ear,Yellow black long and thin eye,Golden the points bang waves  hair,Brownness mouth,Violet short nose,Golden ellipse truncheon,Violet four winged
Zuriel,Golden hair clasp,Green deer ear,Cyan violet black rui cheng eye,Dark red shawls hair,Deep red mouth,Black short nose,Red preious stone necklace,
Verchiel,Blue wing cloak,Orange bar type ear,Cyan orange black perch blossom eye,Cyan shawls hair,Black rectangle mouth,Light orange round nose,Cyan ellipse truncheon,
Ambiel,White green cat head band,Blue triangle ear,White orange litchi eye,Green  waves hair,Pink mouth,Deep blue short nose,Cyan trident,
Felicia,Blue belt,Deep yellow pentagon era,Light orange black willow eye,Black long hair,Deep red rectangle mouth,Red pointed nose,White dress cross necklace,White four winged
Felicia,Cyan pendant,Light black pentagon era,Cyan black litchi eye,Golden side swept fringe waves  hair,Orange round mouth,Black aquiline nose,White cross,Cyan four winged
Hamaliel,Green butterfly head band,Violet short ear,Yellow black lifting eye,Black arc bangs wave hair,Brownness round mouth,Blue short nose,Blue trident,
Adnachiel,Cyan black earring,Deep yellow triangle ear,Yellow violet black perch blossom eye,Cyan arc bangs wave hair,Violet round mouth,Blue aquiline nose,Golden ellipse truncheon,Golden four winged
Felicia,Yellow blue cat head band,Cyan triangle ear,White orange litchi eye,Black arc bangs wave hair ,Brownness round mouth,Deep orange short nose,Cyan shield,Violet six wings
Asmodel,Violet  hair clasp,Violet short ear,Cyan golden black rui cheng eye,Violet the vertical bun hair,Rectangle mouth,Blue long nose,Yellow semicircle truncheon,Golden wing
Felicia,Yellow black,Orange elf ear,Green  black willow eye,Green  the vertical bun hair,Orange mouth,Orange short nose,Yellow ellipse truncheon,Golden wing
Malahidiel,Blue black,Violet long ear,Cyan yellow black perch blossom eye,Green shawls hair,Light brownness round mouth,Deep blue short nose,Cyan golden ellipse truncheon ,Golden four winged
Michael,Golden long stick,Light red  bar type ear,Yellow black long and thin eye,White arc bangs wave hair,Light yellow oval mouth,Light orange round nose,Blue butterfly pattern necklace,Golden wing
Verchiel,Yellow green authority,Deep yellow long ear,Cyan brownness black perch blossom eye,Dark red shoulder length hair,Black round mouth,Orange round nose,Cyan clothing,Violet six wings
Michael,Green butterfly head band,Green elf ear,Cyan gray black perch blossom eye,Dark red braid hair,Deep red heart shaped mouth,Orange aquiline nose,Blue V necklace,Golden four winged
Felicia,Cyan pendant,Green short ear,Green black phonix eye,Brownness short voume hair,Small orange mouth,Black pointed nose,Golden V necklace,White two wing
Hamaliel,Blue helmet,Violet deer ear,Cyan orange litchi eye,Green short voume hair,Deep red oval mouth,Blue long nose,Blue bar head,Golden two wing
Asmodel,Violet  hair clasp,Orange triangle ear,Deep black litchi eye,Brownness waves hair,Brownness mouth,Light red  pointed nose,Cyan triangle necklace,Black  six wings
Gabriel,Blue black earring,Blue long ear,Deep orange black phonix eye,Green shoulder length hair,Brownness round mouth,Red short nose,Red clothing,White two wing
Malahidiel,Violet cloak,Light red  cat ear,Yellow black lifting eye,Cyan points in the temples hair,Deep red oval mouth,Red long nose,Cyan yellow ellipse truncheon,Golden two wing
Ambiel,Violet butterfly head band,Deep yellow long ear,Yellow green black round eye,Golden the points bang waves  hair,Light yellow oval mouth,Cyan long nose,Deep cyan ellipse truncheon,Golden wing
Hamaliel,Blue helmet,Orange short ear,Light orange black phonix eye,Golden the curly hair,Black round mouth,Light orange pointed nose,White V necklace,Violet two wing
Barbiel,Cyan wing cloak,Blue triangle ear,Light orange black phonix eye,Black long hair,Orange mouth,Violet long nose,Golden trident,
Haniel,Cyan pink earrings,Deep red pentagon era,Cyan yellow black perch blossom eye,Green braid hair,Orange mouth,Deep red long nose,White ellipse truncheon,Violet wing
Hamaliel,Yellow earrings,Deep yellow elf ear,Green black phonix eye,Brownness long hair,Light yellow oval mouth,Cyan aquiline nose,White triangle necklace,Violet four winged
Gabriel,Cyan blue earrings,Light black triangle ear,Orange black willow eye,Dark red shawls hair,Violet oval mouth,Orange pointed nose,Blue dress cross necklace,White wing
Hamaliel,Green necklace,Violet cat ear,Cyan black lifting eye,Cyan the points bang waves  hair,Black heart shaped mouth,Brownness round nose,Golden butterfly pattern necklace,Golden four winged
Zuriel,Violet  hair clasp,Light black pentagon era,Light yellow orange black round eye,Violet the points bang waves  hair,Black mouth,Red short nose,Red trident,White wing
Danae,Violet butterfly head band,Cyan triangle ear,Light cyan orange black rui cheng eye,Brownness waves hair,Orange mouth,Red pointed nose,Blue spear,Golden six wings
Zuriel,Blue long stick,Light black cat ear,Cyan yellow black rui cheng eye,Dark red shawls hair,Small orange mouth,Light red round nose,Blue cross,Golden six wings
Verchiel,Violet black earring,Blue cat ear,Yellow green black round eye,Violet braid hair,Light yellow heart shaped mouth,Deep orange aquiline nose,Golden bar head,
Barbiel,Violet butterfly head band,Deep yellow cat ear,Orange black phonix eye,Brownness points in the temples hair,Red heart shaped mouth,Brownness round nose,Cyan violet ellipse truncheon,Violet wing
Danae,Violet bar necklace,Brownness triangle ear,Cyan gray black perch blossom eye,White arc bangs wave hair,Black heart shaped mouth,Cyan round nose,Yellow ellipse truncheon,
Zuriel,Violet round earring,Orange cat ear,Green black long and thin eye,Violet the vertical bun hair,Violet mouth,Black short nose,Violet semicircle truncheon,White wing
Adnachiel,Cyan black earring,Deep yellow triangle ear,Light red black phonix eye,Cyan waves hair,Light brownness round mouth,Green pointed nose,Golden shield,
Manuel,Green yellow earrings,Brownness pentagon era,Light orange black phonix eye,Brownness long hair,Deep red round mouth,Blue round nose,Yellow semicircle truncheon,Violet wing
Ambiel,Cyan belt,Light black long ear,Cyan blue black rui cheng eye,Violet braid hair,Deep red mouth,Deep orange aquiline nose,Golden spear,Golden four winged
Manuel,Yellow blue cat head band,Deep yellow elf ear,Deep black lifting eye,Violet braid hair,Orange heart shaped mouth,Green pointed nose,White V necklace,Violet six wings
Haniel,Green pendant,Cyan triangle ear,Deep brownness black round eye,Cyan long hair,Light brownness round mouth,Light orange pointed nose,Golden V necklace,Cyan two wing
Felicia,Cyan pendant,Deep red deer ear,Cyan black lifting eye,Green shawls hair,Deep red heart shaped mouth,Red pointed nose,Blue dress cross necklace,
Ambiel,Yellow blue cat head band,Violet long ear,Gray black willow eye,Golden braid hair,Deep red mouth,Orange short nose,Blue saint sword,Black  six wings
Cassiel,Blue necklace,Green pentagon era,Yellow orang lifting eye,Golden short voume hair,Brownness round mouth,Black long nose,Cyan bar head,Golden two wing
Felicia,Red helmet,Brownness cat ear,Violet black willow eye,Golden arc bangs wave hair,Deep red oval mouth,Violet aquiline nose,Blue V necklace,White six wings
Asmodel,Light cyan bar necklace,Light black pentagon era,Cyan yellow black perch blossom eye,White shoulder length hair,Orange oval mouth,Cyan round nose,Golden spear,White four winged
Barbiel,Cyan wing cloak,Light black triangle ear,Yellow violet black round eye,Green the curly hair,Rectangle mouth,Red round nose,Golden V necklace,Golden four winged
Malahidiel,Cyan long stick,Cyan elf ear,Red black phonix eye,Violet the curly hair,Orange mouth,Cyan long nose,Violet ellipse truncheon,Cyan  six wings
Hamaliel,Yellow black,Cyan rabbit ear,Violet black willow eye,White waves hair,Orange mouth,Deep orange aquiline nose,White semicircle truncheon,Golden four winged
Gabriel,Cyan earrings,Green short ear,Violet black willow eye,Golden points in the temples hair,Black oval mouth,Pink aquiline nose,Deep cyan ellipse truncheon,Golden four winged
Felicia,Yellow blue cat head band,Cyan  bar type ear,Light cyan orange black rui cheng eye,Cyan long hair,Black oval mouth,Black pointed nose,Cyan preious stone necklace,Violet six wings
Zuriel,Violet  hair clasp,Light black pentagon era,Light yellow orange black round eye,Dark red shawls hair,Orange mouth,Green pointed nose,Cyan preious stone necklace,Black  six wings
Hamaliel,Blue bar necklace,Cyan  bar type ear,White orange litchi eye,Brownness the vertical bun hair,Deep red round mouth,Deep orange aquiline nose,Golden ellipse truncheon,White six wings
Gabriel,Cyan front lace wig,Blue triangle ear,Deep yellow black lifting eye,Dark red braid hair,Light brownness round mouth,Deep orange aquiline nose,Golden ellipse truncheon,Cyan wing
Barbiel,Green round earring,Violet bar type ear,Yellow green black perch blossom eye,Cyan shawls hair,Black round mouth,Cyan round nose,Golden bar head,Cyan two wing
Verchiel,Violet butterfly head band,Violet short ear,Cyan brownness black perch blossom eye,Brownness the vertical bun hair,Black heart shaped mouth,Red short nose,White butterfly pattern necklace,Violet wing
Danae,Golden cloak,Green triangle ear,Yellow orange black perch blossom eye,Cyan shoulder length hair,Red mouth,Cyan short nose,Violet ellipse truncheon,White six wings
Zuriel,Blue long stick,Cyan long ear,Light yellow black willow eye,White side swept fringe waves  hair,Deep red heart shaped mouth,Black short nose,Blue bar head,Golden two wing
Felicia,Red helmet,Violet long ear,Light red black willow eye,Green the points bang waves  hair,Deep red mouth,Deep orange long nose,Cyan triangle necklace,
Barbiel,Blue necklace,Light red rabbit ear,Light yellow black willow eye,Black shoulder length hair,Orange heart shaped mouth,Cyan round nose,Red trident,Golden six wings
Asmodel,Cyan bar necklace,Orange bar type ear,Deep red black willow eye,Green shoulder length hair,Black rectangle mouth,Deep blue short nose,,White wing
Ambiel,White cyan authority,Blue short ear,Yellow violet black round eye,Black long hair,Red heart shaped mouth,Cyan long nose,Cyan white ellipse truncheon,
Danae,Violet butterfly head band,Deep yellow long ear,Violet black willow eye,Golden side swept fringe waves  hair,Brownness round mouth,Orange pointed nose,Blue saint sword,
Danae,Yellow blue cat head band,Cyan rabbit ear,Dark red black phonix eye,Green the curly hair,Black rectangle mouth,Cyan round nose,Red dress cross necklace,
Verchiel,Green butterfly head band,Deep red short ear,Yellow blue black round eye,Dark red shoulder length hair,Light brownness round mouth,Orange short nose,Red butterfly pattern necklace,Cyan wing
Michael,White long stick,Light black elf ear,White orange litchi eye,White long hair,Deep red rectangle mouth,Brownness round nose,Deep cyan ellipse truncheon,Violet wing
Hamaliel,Cyan wing cloak,Light black pentagon era,Light red black lifting eye,Brownness arc bangs wave hair,Pink mouth,Deep blue long nose,Violet ellipse truncheon,
Adnachiel,Deep blue earrings,Orange pentagon era,Cyan golden black rui cheng eye,Golden braid hair,Violet round mouth,Deep red round nose,Red V necklace,Golden wing
Cassiel,Blue belt,Brownness long ear,White orange litchi eye,Dark red the curly hair,Light brownness round mouth,Orange pointed nose,Deep cyan ellipse truncheon,Cyan wing
Hamaliel,Violet wing cloak,Deep red rabbit ear,Cyan brownness black rui cheng eye,Golden the curly hair,Black rectangle mouth,Orange short nose,Cyan semicircle truncheon,Golden four winged
Adnachiel,Violet cloak,Orange bar type ear,Cyan brownness black perch blossom eye,Brownness shoulder length hair,Red heart shaped mouth,Pink aquiline nose,Golden cross,Black  six wings
Hamaliel,Blue bar necklace,Cyan short ear,Yellow orange black perch blossom eye,Black braid hair,Light yellow oval mouth,Blue pointed nose,Golden ellipse truncheon,Cyan two wing
Asmodel,Cyan round earring,Light red  bar type ear,Cyan black litchi eye,Black the points bang waves  hair,Deep red oval mouth,Cyan aquiline nose,Golden ellipse truncheon,Violet four winged
Malahidiel,Golden yellow cat head band,Violet triangle ear,Yellow violet black round eye,Golden points in the temples hair,Pink mouth,Cyan long nose,Cyan white ellipse truncheon,Violet four winged
Malahidiel,Violet cloak,Cyan pentagon era,Light yellow black willow eye,Dark red long hair,Violet oval mouth,Blue pointed nose,Red dress cross necklace,Violet two wing
Felicia,Red helmet,Light black rabbit ear,Deep yellow black lifting eye,Brownness shoulder length hair,Orange heart shaped mouth,Pink long nose,Golden ellipse truncheon,White wing
Manuel,Cyan black cat head band,Deep yellow  bar type ear,Cyan black willow eye,White side swept fringe waves  hair,Orange round mouth,Cyan round nose,Blue butterfly pattern necklace,Cyan four winged
Danae,Cyan crown,Orange rabbit ear,Yellow brownness black perch blossom eye,Golden arc bangs wave hair,Light yellow oval mouth,Dark red round nose,Golden butterfly pattern necklace,Black  six wings
Ambiel,Cyan belt,Light black short ear,Light golden black willow eye,Black shoulder length hair,Yellow mouth,Cyan long nose,Cyan spear,Cyan wing
Hamaliel,Cyan wing cloak,Light black deer ear,Cyan black litchi eye,White points in the temples hair,Orange round mouth,Pink long nose,Cyan shield,Cyan  six wings
Ambiel,White green cat head band,Brownness short ear,Cyan red black perch blossom eye,Violet braid hair,Brownness mouth,Black aquiline nose,Deep cyan ellipse truncheon,
Michael,White cyan authority,Green pentagon era,Deep black litchi eye,Black points in the temples hair,Brownness round mouth,Red pointed nose,Cyan triangle necklace,White wing
Malahidiel,Cyan front lace wig,Cyan rabbit ear,Deep red black willow eye,Violet short voume hair,Violet mouth,Red short nose,Blue trident,Golden six wings
Asmodel,Cyan necklace,Violet cat ear,Deep brownness black round eye,Dark red the points bang waves  hair,Violet round mouth,Violet short nose,Cyan violet ellipse truncheon,
Danae,Violet bar necklace,Brownness triangle ear,Deep cyan black lifting eye,Golden the curly hair,Deep red round mouth,Pink long nose,Cyan cross,Violet two wing
Michael,Golden long stick,Light red  bar type ear,Cyan gray black perch blossom eye,Brownness side swept fringe waves  hair,Violet oval mouth,Deep orange pointed nose,Blue bar head,Golden four winged
Asmodel,Cyan necklace,Light red short ear,Cyan black lifting eye,Brownness braid hair,Light yellow heart shaped mouth,Orange pointed nose,Cyan V necklace,Cyan two wing
Hamaliel,Cyan butterfly head band,Deep yellow  bar type ear,Yellow orange black round eye,Violet short voume hair,Viole heart shaped mouth,Green round nose,Cyan saint sword,Golden two wing
Gabriel,White violet cat head band,Light red rabbit ear,Yellow green black round eye,Black arc bangs wave hair ,Viole heart shaped mouth,Orange aquiline nose,Cyan white ellipse truncheon,Cyan wing
Ambiel,Violet butterfly head band,Violet deer ear,Yellow green black perch blossom eye,Cyan shawls hair,Deep red heart shaped mouth,Black pointed nose,White spear,Golden wing
Barbiel,Red long stick,Light red rabbit ear,Yellow blue black round eye,Black arc bangs wave hair,Viole heart shaped mouth,Cyan long nose,Cyan violet ellipse truncheon,
Asmodel,Cyan round earring,Violet long ear,White orange litchi eye,Cyan shoulder length hair,Black oval mouth,Black round nose,White ellipse truncheon,Black  six wings
Gabriel,Green black,Deep yellow deer ear,Cyan brownness black rui cheng eye,Cyan side swept fringe waves  hair,Pink mouth,Blue short nose,Golden clothing,
Manuel,Green pendant,Deep red elf ear,Deep brownness black round eye,Green the curly hair,Red heart shaped mouth,Light red round nose,Golden saint sword,
Manuel,Pink necklace,Green cat ear,Cyan red black rui cheng eye,Brownness side swept fringe waves  hair,Black rectangle mouth,Deep blue long nose,White V necklace,Golden four winged
Barbiel,Violet  hair clasp,Cyan long ear,Yellow violet black round eye,Dark red the curly hair,Orange round mouth,Blue short nose,Yellow ellipse truncheon,White two wing
Haniel,Blue round earring,Light red  cat ear,Light orange litchi eye,Cyan the curly hair,Deep red heart shaped mouth,Green round nose,White V necklace,
Gabriel,Pink crown,Orange rabbit ear,Yellow orange litchi eye,Black long hair,Brownness mouth,Blue round nose,Blue shield,White two wing
Haniel,Cyan pink earrings,Light red  cat ear,White orange litchi eye,Golden side swept fringe waves  hair,Red heart shaped mouth,Light orange round nose,Golden dress cross necklace,Golden six wings
Zuriel,Violet wing cloak,Deep red rabbit ear,Cyan violet black rui cheng eye,Green side swept fringe waves  hair,Pink mouth,Green pointed nose,Red shield,Violet wing
Haniel,Cyan black cat head band,Light black  bar type ear,Red black long and thin eye,Black waves hair,Orange oval mouth,Red pointed nose,White semicircle truncheon,Golden six wings
Hamaliel,Violet wing cloak,Deep red rabbit ear,Deep yellow black lifting eye,Brownness braid hair,Deep red heart shaped mouth,Brownness round nose,Cyan violet ellipse truncheon,Golden wing
Felicia,Cyan wing cloak,Green triangle ear,Light yellow orange black round eye,Black short voume hair,Black heart shaped mouth,Orange aquiline nose,Yellow ellipse truncheon,Golden six wings
