type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Chick,Black rectangle glasses,Small black eye&orange round eyebrow,Pink short hair,Golden quadrangle  Mouth,Yellow trapeziod wing 
Vulture,Green Hat,Small black eye&orange round eyebrow,Red hairdo,Black Mouth,Cyan  tooth profine wing
Cuckoo,Deep blue polygon Hat,Black eye&pink eyebrow,Pink Curly,Orange polygon  Mouth,Iridescence wing
Swan,Deep gray  round Hat,Black eye&round black eyebrow,Black broken,Golden quadrangle  Mouth,Yellow trapeziod wing 
Swan,Deep blue mesh cap,Black eye&rectangle eyebrow,Cyan punk,Gray Mouth,Red rhomboid wing
Crow,Dark blue headset,Black eye&round black eyebrow,Cyan punk,Orange triangle big Mouth,Yellow tooth profine wing
Blue Bird,Blue black triangle glasses,White eye&black long eyebrow,Blue short hair,Orange short Mouth,Black trapeziod wing  
Hummingbird,Black Hat,Black eye&deep orange eyebrow,Deep red Curly,Orange polygon  Mouth,Agree rhomboid wing
Bullfinch,Orange black white round Hat,Black eye&round eyebrow,Light cyan shorthair,Deep orange triangle  Mouth,Dark red wing 
Bullfinch,Dark blue  square glasses,Red eye&black eyebrow,Blue Curly,Depp red triangle Mouth,Dark Colours wing
Thrush,Yellow Hat,Small black eye&orange  eyebrow,Red punk,Light yellow short Mouth,Yellow agree trapeziod wing
Pelican,Orange yellow Hat,Small black eye&black long eyebrow,Black broken,Depp red triangle Mouth,Pink  violet sector wing
Penguin,Black white square glasses,Small black eye&red long eyebrow,Light cyan hair,Orange quadrangle Mouth,Light cyan front shape wing
Ostrich,Orange yellow round glasses,Black eye&orange eyebrow,Pink Curly,Black orange small Mouth,Violet tooth profine wing
Duck,Blue flat Hat,Light cyan eye&orange eyebrow,Green crown,Light orange Mouth,Agree rhomboid wing
Woodpecker,White square glasses,Light cyan eye&orange eyebrow,Yellow braid,Orange quadrangle Mouth,Colours trapeziod wing 
Cuckoo,Blue trapezoid  Hat,Black purple eye&long eyebrow,Yellow braid,Golden triangle Mouth,Gray trapeziod wing 
Seagull,Red black round glasses,Small black eye&orange  eyebrow,Cyan Curly,Black bluw long Mouth,Colours trapeziod wing 
Turkey,Deep purplepentagon glasses,Small black eye&orange round eyebrow,Orange short hair,Orange quadrangle Mouth,Violet trapeziod wing 
Pigeon,Black necklace,Small black eye&black long eyebrow,Black broken,Light blue short Mouth,White black rhomboid wing
Seagull,Deep blue polygon Hat,Black eye&orange long eyebrow,Red short hair,Depp red triangle Mouth,Dark Colours wing
Duck,Orange black square Hat,Light cyan  eye&orange long eyebrow,Light cyan shorthair,Orange short Mouth,Agree wing
Swallow,Yellow quadrangle Hat,Jet black eye&long eyebrow,Orange middle parting,Black orange long Mouth,Yellow trapeziod wing 
Magpie,Violet black  Hat,Light cyan  eye&orange long eyebrow,Above color crown,Pale red Mouth,Dark Colours wing
Duck,Violet red polygon Hat,Cyan black eye&long eyebrow,Orange middle parting,Black yellow Mouth,Colours wing 
Duck,Violet round glasses,Orange eye& eyCambridge blue eyebrow,Light cyan hair,Blue triangle  Mouth,Colours tooth profine wing
Cuckoo,Pink red round Hat,Black eye&round black eyebrow,Black long hair,Black pink Mouth,Yellow agree front shape wing 
Magpie,Blue black round glasses,Small black eye&orange round eyebrow,Blue short hair,Orange square Mouth,Dark blue cyan wing
Cuckoo,Red black pentagon glasses,Black eye&yellow eyebrow,Pink long hair,Blue black Mouth,Black trapeziod wing  
Aurora,Deep orange black round hat,Cyan black eye&long eyebrow,Pink Curly,Gray triangle Mouth,Orange white sector wing
Pigeon,Violet red polygon Hat,Cambridge blue eye&pink eyebrow,Orange hairdo,Deep Blue triangle Mouth,Iridescence wing
Magpie,Dark orange necklace,Black eye&deep orange eyebrow,Red yellow crown,Black triangle small Mouth,Agree sector wing
Ostrich,Black rectangle glasses,Black purple eye&long eyebrow,Orange middle parting,Pale yellow triangle  Mouth,White gray wing
Thrush,Dark blue headset,Black eye&long black eyebrow,Cyan short hair,Pale red Mouth,Yellow tooth profine wing
Pigeon,Orange yellow Hat,Small black eye&orange round eyebrow,Red punk,Orange triangle Mouth,Iridescence wing
Turkey,Black white Hat,Small black eye&red long eyebrow,Black long hair,Black orange long Mouth,Red sector wing
Bullfinch,Orange black white round Hat,Black eye&deep orange eyebrow,Blue punk,Black long Mouth,Colours sector wing
Magpie,Blue black triangle glasses,Black eye&pink eyebrow,Above color crown,Deep Gray triangle Mouth,Dark black wing 
Hummingbird,Dark blue gray polygon Hat,Cyan eye&dark red eyebrow,Red short hair,Light orange Mouth,Blue cyan wing
Ostrich,Black rectangle glasses,White eye&black long eyebrow,Yellow Curly,Light blue short Mouth,Yellow agree trapeziod wing
Vulture,Deep orange black round hat,Black cyan eye&long eyebrow,Orange middle parting,Orange polygon  Mouth,Yellow trapeziod wing 
Vulture,Deep purplepentagon glasses,Black eye&rectangle eyebrow,Deep red Curly,Orange triangle Mouth,Violetv wing
Chick,Orange black square Hat,Black eye&round eyebrow,Cyan punk,Black red long Mouth,Khaki front shape wing
Pigeon,Pink triangle Hat,Light cyan eye&orange eyebrow,Orange middle parting,Golden triangle small Mouth,Orange triangle  wing
Swan,Black cyan Hat,Small black eye&red long eyebrow,Blue Curly,Get black triangle Mouth,Orange trapeziod wing 
Blue Bird,Black pink Hat,Big black eye&orange eyebrow,Black long hair,Black bluw long Mouth,Red trapeziod wing 
Pelican,Blue square glasses,Black whiteeye&round eyebrow,Black red hair,Orange short Mouth,Cyan  tooth profine wing
Pelican,Red flat Hat,Black purple eye&long eyebrow,Blue hairdo,Golden small Mouth,Agree trapeziod wing  
Seagull,Black blue orange round Hat,White eye&black long eyebrow,Blue long hair,Orange quadrangle Mouth,Gray rhomboid wing
Blue Bird,Black white Hat,Cyan black eye&long eyebrow,Red short hair,Black yellow long Mouth,Blue trapeziod wing 
Woodpecker,Rainbow trapezoid  Hat,Cambridge blue eye&pink eyebrow,Green crown,Deep orange triangle  Mouth,Dark blue cyan wing
Pigeon,Blue flat Hat,Black eye&long eyebrow,Pink middle parting,Golden small Mouth,Violet trapeziod wing 
Swallow,Yellow quadrangle Hat,White eye&Black eyebrow,Red yellow crown,Pale yellow triangle  Mouth,Yellow agree trapeziod wing
Magpie,Dark orange necklace,Black eye&round eyebrow,Light cyan hair,Orange short Mouth,Yellow agree front shape wing 
Swan,Violet black  Hat,Black eye&long pink eyebrow,Deep red Curly,Black Mouth,Black trapeziod wing  
Woodpecker,White square glasses,Black eye&long eyebrow,Deep red Curly,Get black triangle Mouth,Colours wing 
Turkey,Yellow quadrangle Hat,Black purple eye&long eyebrow,Red punk,Pale gold Palegreen,Blue front shape wing 
Bullfinch,Orange headset,Black eye&long pink eyebrow,Yellow braid,Blue Naroon,Cyan yellow sector wing
Duck,Orange black square Hat,Black eye&orange eyebrow,Black middle parting,Deep Orange square Mouth,Black rhomboid wing
Seagull,Black orange necklace,Black eye&pink eyebrow,Cyan punk,Yellow long Mouth,Dark red wing 
Penguin,Pink headset,Light cyan  eye&orange long eyebrow,Blue hairdo,Black orange long Mouth,Blue rhomboid wing
Chick,Orange black square Hat,Big black eye&long eyebrow,Pink long hair,Blue triangle  Mouth,Red trapeziod wing 
Penguin,Light cyan agree necklace,Black eye&yellow eyebrow,Red yellow crown,Golden polygon Mouth,Dark cyan wing 
Vulture,Colous pentagon glasses,Small black eye&orange round eyebrow,Deep red Curly,Black orange small Mouth,Orange triangle  wing
Woodpecker,Black triangle glasses,Black eye&round eyebrow,Deep red Curly,Black triangle small Mouth,Pink  violet sector wing
Crow,Dark blue rectangle glasses,Black eye&long pink eyebrow,Black yellow hair,Golden triangle small Mouth,Gray trapeziod wing 
Cuckoo,Black pink Hat,Black eye&yellow eyebrow,Light cyan hair,Black long Mouth, Dark violet front shape wing
Magpie,Brow hat,Black eye&Black eyebrow,Cyan Curly,Golden quadrangle  Mouth,Agree trapeziod wing  
Seagull,Black orange necklace,Small black eye&orange  eyebrow,Green braid,Black long Mouth,Pink  violet sector wing
Turkey,Deep yellow arch Hat,Light cyan eye&orange eyebrow,Red hairdo,Golden small Mouth,Dark black wing 
Seagull,Black blue orange round Hat,Cyan eye&dark red eyebrow,Red short hair,Golden big Mouth,White black rhomboid wing
Duck,Violet round glasses,Black eye&pink eyebrow,Pink long hair,Gray triangle Mouth,Red trapeziod wing 
Pigeon,Pink triangle Hat,Light cyan eye&orange eyebrow,Orange middle parting,Red triangle small Mouth,Dark blue  wing 
Vulture,Pink triangle Hat,White eye&Black eyebrow,Red yellow crown,Light blue short Mouth,Yellow tooth profine wing
Hummingbird,Rainbow round Hat,Black eye&deep orange eyebrow,Orange middle parting,Blue Naroon,Orange yellow wing
Penguin,Pink headset,Black cyan eye&long eyebrow,Black broken,Orange polygon  Mouth,Blue rhomboid wing
Swan,Dark blue gray polygon Hat,Small black eye&orange round eyebrow,Black red hair,Blue small Mouth,Red rhomboid wing
Swan,Deep blue mesh cap,Black eye&yellow eyebrow,Blue short hair,Deep Blue triangle Mouth,Dark Colours wing
Ostrich,Yellow quadrangle Hat,Cambridge blue eye&black long eyebrow,Blue punk,Black yellow Mouth,Yellow trapeziod wing 
Chick,Black flat Hat,Blue black eye&long eyebrow,Black yellow hair,Shallow black triangle Mouth,Gray rhomboid wing
Penguin,Black white square glasses,Small black eye&red long eyebrow,Cyan punk,Pale yellow triangle  Mouth,Agree sector wing
Penguin,Orange round Hat,Black red eye&A round eyebrow,Yellow Curly,Orange polygon  Mouth,Violetv wing
Cuckoo,Deep blue polygon Hat,Jet black eye&long eyebrow,Red punk,Dark blue triangle Mouth,Violet tooth profine wing
Swan,Deep blue mesh cap,Cyan eye&dark red eyebrow,Plae yellow braid,Light blue short Mouth,Dark blue cyan wing
Turkey,Pink necklace,Small black eye&red long eyebrow,Orange middle parting,Black long Mouth,Violet trapeziod wing 
Hummingbird,Rainbow round Hat,Cyan black eye&long eyebrow,Pink Curly,Golden big Mouth,Blue cyan wing
Pigeon,Black blue Hat,black orange eye&long eyebrow,Yellow braid,Light orange Mouth,Black rhomboid wing
Hummingbird,Dark blue gray polygon Hat,Small black eye&orange  eyebrow,Black long hair,Pale gold Palegreen,Cyan yellow sector wing
Seagull,Dark blue round Hat,Black eye&round eyebrow,Light cyan hair,Light orange Mouth,Colours tooth profine wing
Chick,Dark black round Hat,Black white eye&long eyebrow,Red airplane,Orange triangle small Mouth,Agree sector wing
Hummingbird,Green Hat,Black eye&Black eyebrow,Red punk,Light blue short Mouth, Dark violet front shape wing
Swan,Blue round glasses,Light cyan  eye&orange long eyebrow,Cyan Curly,Orange short Mouth,Colours trapeziod wing 
Vulture,Red black pentagon glasses,Small black eye&red long eyebrow,Blue broken,Light orange short Mouth,Dark cyan wing 
Aurora,Dark blue  square glasses,Black eye&long black eyebrow,Light cyan hair,Red triangle Mouth, Dark violet front shape wing
Thrush,Red black triangle glasses,Black white eye&long eyebrow,Orange short hair,Red triangle small Mouth,Colours sector wing
Swan,Deep gray  round Hat,Black whiteeye&round eyebrow,Blue short hair,Golden triangle small Mouth,Violet rhomboid wing
Penguin,Black white square glasses,Cyan eye&dark red eyebrow,Black long hair,Golden Mouth,Orange rhomboid wing
Chick,Dark black round Hat,Black cyan eye&long eyebrow,Cyan Curly,Golden triangle Mouth,Red sector wing
Bullfinch,Orange black square Hat,Big black eye&long eyebrow,Orange hairdo,Black orange black Mouth,Agree wing
Crow,Deep blue polygon Hat,Black eye&long black eyebrow,Pink Curly,Orange polygon  Mouth,Agree wing
Blue Bird,Orange square glasses,Black eye&long pink eyebrow,Black red hair,Red triangle small Mouth,Red front shape wing 
Aurora,Dark black round Hat,Black eye&orange long eyebrow,Red hairdo,Black orange black Mouth,Pink  violet sector wing
Aurora,Dark black round Hat,Black eye&round black eyebrow,Red yellow crown,Get black triangle Mouth,Red wing
Swan,Dark blue round Hat,Black red eye&A round eyebrow,Blue punk,Deep orange triangle  Mouth,Colours trapeziod wing 
Turkey,Deep yellow arch Hat,Black white eye&long eyebrow,Blue punk,Golden Mouth,Black rhomboid wing
Hummingbird,orange perked cap,Orange eye& eyCambridge blue eyebrow,Orange middle parting,Orange triangle small Mouth,Blue trapeziod wing 
Hummingbird,Black Hat,Light cyan eye&pink eyebrow,Blue broken,Gray triangle Mouth,Khaki front shape wing
Thrush,Deep blue polygon Hat,Black eye&orange long eyebrow,Red hairdo,Black triangle small Mouth,Cyan trapeziod wing 
Bullfinch,Blue black round glasses,White eye&Black eyebrow,Black short hair,Red triangle Mouth,Pink wing 
Bullfinch,Orange headset,Cyan eye&dark red eyebrow,Blue long hair,Orange long Mouth,Violet trapeziod wing 
Turkey,Blue trapezoid  Hat,Cambridge blue eye&pink eyebrow,Cyan Curly,Orange polygon  Mouth,Blue tooth profine wing
Woodpecker,Orange square glasses,Black purple eye&long eyebrow,Orange hairdo,Orange long Mouth,Blue trapeziod wing 
Swan,Dark blue round Hat,Black red eye&A round eyebrow,Light cyan hair,Deep Gray triangle Mouth,Blue rhomboid wing
Vulture,Red black pentagon glasses,Black eye&orange long eyebrow,Cyan Curly,Golden square Mouth,Iridescence wing
Vulture,Deep orange black round hat,Small black eye&black long eyebrow,Red Curly,Black triangle small Mouth,Pink wing 
Crow,Dark blue headset,Orange eye& eyCambridge blue eyebrow,Orange hairdo,Deep Gray triangle Mouth,Agree rhomboid wing
Pelican,Blue square glasses,Small black eye&black long eyebrow,Red hairdo,Pale gold Palegreen,Violetv wing
Seagull,Deep blue mesh cap,Black eye&long black eyebrow,Black yellow hair,Red triangle small Mouth,Orange white sector wing
Aurora,Blue square glasses,Black eye&orange long eyebrow,Pink short hair,Orange polygon  Mouth,Dark blue  wing 
Duck,Blue flat Hat,Black eye&round eyebrow,Cyan Curly,Golden polygon Mouth,Colours sector wing
Aurora,Orange headset,Blue eye&blue eyebrows,Orange long hair,Black pink Mouth,Agree wing
Cuckoo,Black brow hat,Black eye&Black eyebrow,Black red hair,Black yellow Mouth, Dark violet front shape wing
Bullfinch,Dark black round Hat,Black eye&Black eyebrow,Yellow braid,Golden polygon Mouth,Colours sector wing
Hummingbird,Red round glasses,Small black eye&long eyebrow,Red Curly,Black orange black Mouth,Blue  triangle  wing
Vulture,Green Hat,Big black eye&long eyebrow,Light cyan shorthair,Golden small Mouth,Violet rhomboid wing
Hummingbird,Orange black polygon Hat,Cambridge blue eye&black long eyebrow,Pink short hair,Orange triangle Mouth,Blue trapeziod wing 
Pigeon,Gray black Hat,Black eye&round eyebrow,Yellow Curly,Golden triangle small Mouth,Violet tooth profine wing
Vulture,Deep purplepentagon glasses,Orange eye& eyCambridge blue eyebrow,Yellow braid,Depp red triangle Mouth,Agree wing
Chick,Orange black white round Hat,Black white eye&long eyebrow,Blue broken,Blue small Mouth,Dark black wing 
Turkey,Blue trapezoid  Hat,Big black eye&black long eyebrow,Orange short hair,Deep Orange square Mouth,Dark blue cyan wing
Seagull,Black orange necklace,Black eye&jet black eyebrow,Light cyan hair,Golden big Mouth,White sector wing
Hummingbird,Red round glasses,Black whiteeye&round eyebrow,Black red hair,Orange Mouth,Agree trapeziod wing  
Thrush,Red black quadrangle Hat,Small black eye&red long eyebrow,Red hairdo,Light orange Mouth,Colours wing 
Hummingbird,orange perked cap,black orange eye&long eyebrow,Black broken,Light blue short Mouth,Dark black wing 
Pelican,Blue trapezoid  Hat,Black whiteeye&round eyebrow,Red short hair,Gray big Mouth,Pink  violet sector wing
Seagull,Dark blue round Hat,Black eye&long eyebrow,Black red hair,Dark blue triangle Mouth,Red trapeziod wing 
Thrush,Blue triangle Hat,Cambridge blue eye&black long eyebrow,Red punk,Black triangle small Mouth,Iridescence wing
Cuckoo,Black cyan Hat,Small black eye&orange round eyebrow,Blue short hair,Golden triangle Mouth,Blue tooth profine wing
Swallow,Yellow quadrangle Hat,Small black eye&long eyebrow,Light cyan shorthair,Orange polygon  Mouth,Blue tooth profine wing
Penguin,Dark orange necklace,Black eye&round eyebrow,Red punk,Black triangle small Mouth,Orange trapeziod wing 
Swallow,Orange black polygon Hat,Black eye&long pink eyebrow,Deep red Curly,Black pink Mouth,Black trapeziod wing  
Penguin,Orange round Hat,Black eye&jet black eyebrow,Yellow Curly,Deep orange triangle  Mouth,White gray wing
Magpie,Orange yellow round glasses,Black cyan eye&long eyebrow,Cyan short hair,Deep Orange square Mouth,Colours wing 
Blue Bird,Black arch Hat,Black eye&round eyebrow,Green braid,Gray Mouth,Blue front shape wing 
Pelican,Black pink Hat,Red eye&black eyebrow,Light cyan hair,Gray big Mouth,Agree wing
Wild Goose,Red black pentagon glasses,Black eye&round eyebrow,Black broken,Black pink Mouth,Red trapeziod wing 
Blue Bird,Black arch Hat,Black eye&yellow eyebrow,Red punk,Pale red Mouth,Blue rhomboid wing
Oriole,Red black triangle glasses,White eye&Black eyebrow,Cyan Curly,Golden quadrangle  Mouth,Yellow agree trapeziod wing
Peacock,Orange yellow round glasses,Black eye&pink eyebrow,Cyan punk,Deep Gray triangle Mouth,Colours tooth profine wing
Crow,Green Hat,Black eye&orange eyebrow,Light cyan shorthair,Orange Mouth,Gray rhomboid wing
Seagull,Deep blue mesh cap,White eye&black long eyebrow,Pink long hair,Black orange small Mouth,Gray trapeziod wing 
Hummingbird,Dark blue gray polygon Hat,Small black eye&orange  eyebrow,Pink broken,Orange short Mouth,Red trapeziod wing 
Penguin,Orange round Hat,Pink black eye&long eyebrow,Blue broken,Black red long Mouth,Red trapeziod wing 
Zebra Finch,Yellow quadrangle Hat,Black red eye&A round eyebrow,Pink short hair,Blue triangle  Mouth,Agree sector wing
Pigeon,Orange black square Hat,Black eye&yellow eyebrow,Above color crown,Orange quadrangle Mouth,Yellow trapeziod wing 
Hummingbird,Orange round glasses,Black eye&long pink eyebrow,Light cyan shorthair,Orange triangle small Mouth,Gray rhomboid wing
